album_id,album_name,album_release_date
7sVzilmsqYcLMYw2gtvoZM,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),2015-05-21
5Wm1nhxZqx7i0Hp6ZBqe9T,Love Forever With Arijit Singh,2017-06-07
5ZbqiWukRFxq8zwllvK3YT,Sahiba,2024-11-15
1poClftP5T3zRcqpsxPPfW,"Raanjhan (From ""Do Patti"")",2024-10-04
1hvEqSYJOEoLoe0IRTy7PX,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-18
5OYZCRHN3Dqe29yzFKr630,Aaj Bhi 2,2024-09-12
5xjaz957o6YGSXmlfd2tex,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],2016-10-26
54ubCIO3voLnU7ZmJhxqBd,Zihaal e Miskin,2023-05-25
1WwkojG9sjMSrFVz4D51W0,Ultimate Love Songs - Arijit Singh,2020-05-19
10FLjwfpbxLmW8c25Xyc2N,Die With A Smile,2024-08-16
49shWTH1llwLbKQ1bq1cvJ,"Ishq (From ""Lost;Found"")",2024-03-09
7vQKtc0edApiep4Xdt1bHm,"Khamoshiyan (From ""Khamoshiyan"")",2014-12-29
7hBrHnIBbiPhV0mCKZZvdC,Aaye Haaye (Feat. Nora Fatehi),2024-12-05
3I3kZyHUtEA9Y59rJkxtk6,"Sajni (From ""Laapataa Ladies"")",2024-02-12
7grtFo2pj5wwRTM7c6NI9y,Jhol,2024-06-14
2SarxpD48O1DOiDIccyZ0W,Husn,2023-12-01
036AwFKcee9b7rLriwBHPG,Tu Ru Ruu,2024-12-06
0a183xiCHiC1GQd8ou7WXO,ANIMAL,2023-11-24
6AoRPYCFmW2Y9VxmDKXY6U,Tera Kasoor,2024-12-08
5jqOPaSXkGQv3IH62dHoUE,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),2014-06-19
0W7heKaA6nCObhSIouybei,La La La,2024-12-12
2khzKvw27vsWmb8xgnqxKb,Tera Zikr,2017-11-09
5V2IsZkQDhgRrgNhyCOJHf,Tu hai kahan,2023-06-10
2IYQwwgxgOIn7t3iF6ufFD,APT.,2024-10-18
7kXEDaT5yy8IUT7Fmqs1i2,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",2023-03-04
5X1DGttuOWvWy4uhGw03eE,AANKH,2024-12-05
2ADyLRU2KWshFA02symTDr,Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),2013-09-20
6JLbWsfDz2A5fd57z2NFZW,Rooh (Feat. Nushrratt Bharuccha),2024-12-12
0wzJaFTmOlIGokjoNJ9loW,"Bolna (From ""Kapoor & Sons (Since 1921)"")",2016-03-04
1dWevVFLLY3djj918zBvx8,Kehna Galat Galat,2024-10-01
7pFrr9ypVrxpZNF97YUQjK,Asal Mein,2020-02-18
7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23
6BHlJhCk1vjCG6hqTG2SFV,Kahani Suno 2.0,2022-05-31
6IXfWhC7omotM4lt0ROmEr,Love Aaj Kal (Original Motion Picture Soundtrack),2020-02-14
5quMTd5zeI9yW5UDua8wS4,Espresso,2024-04-12
1ncyKqyZae6DoyjYaV9LmS,"Kaise Hua (From ""Kabir Singh"")",2019-06-13
0Z1zYMwJRpvq0d9rdqTOYo,"Ranjha (From ""Shershaah"")",2021-08-05
1985P1ekEqgznRBCDVBiQ3,"Jaan Le Gayi (From ""Bhoomi 2024"")",2024-12-11
2Lxoc72vRTGdQfMvj7Ovi1,Yeh Jawaani Hai Deewani,2013-03-30
4yfjeaROize8h6IkgU5RBn,Bikhra,2022-02-11
37nWpT1gls52Tu6pymuPw3,"Mann Bharryaa 2.0 (From ""Shershaah"")",2021-08-15
2HZl13JCi3PIaqVlIkp4q6,Shor in the City (Original Motion Picture Soundtrack),2011-03-28
1SpbFGHXAhmeqr5jWnhqVB,My Dil Goes,2024-12-25
7bght7slNBH8AuYHdIlvYf,Out of Control,2024-10-18
2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25
3EkmvTqyKrnMw1WiVpsSwF,Ek Villain,2014-05-28
5snDdFszQnoAqgQfNntKcx,"Choli Ke Peeche (From ""Crew"")",2024-03-20
2LeZ6oWQed5ewVUpyGJKDh,Baarishein,2018-01-12
40jjSojU7iJNRcOHx59BJA,Tang Mujhko,2022-08-30
