song_id,song_name,song_popularity
3HiobOOpSpMsi95WBKPBYk,Hamari Adhuri Kahani (Title Track),72
2FCXQHugkoHE1K3tiDu8pu,"Agar Tum Saath Ho (From ""Tamasha"")",69
4ulroyDK6rN73nVkCkWhur,Sahiba,78
4vHRQnzGcKEtqsLH70tAms,"Raanjhan (From ""Do Patti"")",80
6EivvaEepVTjmDde43eGiB,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",67
5Swyv8euhHEJu57t5qbGUs,Aaj Bhi 2,70
1UWacd8x8tPPwmrPB1MoBI,Ae Dil Hai Mushkil Title Track,70
51DEaelXeJJ6cFFYbX8Hal,Zihaal e Miskin,71
2PvaburAUlhNHxVhw5lvOq,"Humdard (From ""Ek Villain"")",74
2plbrEY59IikOBgBGLjaoe,Die With A Smile,100
7hDoxkN20lLb06zifzYnD2,"Ishq - From ""Lost;Found""",75
5Gy67YHzPZTk9Q0D73LAGH,"Khamoshiyan (From ""Khamoshiyan"")",60
6uwfPoH4JwdtD9b4mjZeZz,Aaye Haaye (Feat. Nora Fatehi),74
5zCnGtCl5Ac5zlFHXaZmhy,"Sajni (From ""Laapataa Ladies"")",79
4XTgFBxBHN6var1BzAgE1m,Jhol,74
0TL0LFcwIBF5eX7arDIKxY,Husn,78
3y7WECxvtou36AS4rhwgYO,Tu Ru Ruu,67
7yDHHVKLbvDmVw1XXhDDIO,Pehle Bhi Main,77
3i0NJapaxroNdrS4ffFbDY,Tera Kasoor,59
0H2iJVgorRR0ZFgRqGUjUM,Channa Mereya,69
4LO5DjN6Tp3UkUvgESuy2t,Samjhawan,64
49KgyOphHcrubDxA3PaO55,La La La,62
0OfaueVeRebAfWsAHajj3z,Tera Zikr,60
4VhqKzBeAlhTjLYZr0oJx8,Tu hai kahan,0
5vNRhkKd0yEAg8suGBpjeY,APT.,97
0czcoKJbJt08NqKrvSbbz7,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",67
1EZzUDV9IdzLVgmz7v86nx,AANKH,69
1yYM7dY6wSJFp5qmxPRLu1,Main Rang Sharbaton Ka,62
7L73D0JndKdEbi25yKyCNk,Rooh (Feat. Nushrratt Bharuccha),63
3GrCQPpKqKzOcKfMAoqn82,"Bolna (From ""Kapoor & Sons (Since 1921)"")",65
6ZCjqm4QlYPEOtd4GZPKxL,Kehna Galat Galat,68
0rMeOAvbQZ2RTG4B6L1M4p,Asal Mein,72
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",90
4VsP4Dm8gsibRxB5I2hEkw,Kahani Suno 2.0,71
6cUOiOY5qh2FpIQWIYAd2h,Mehrama,70
2qSkIjg1o9h3YT9RAgYN75,Espresso,89
1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")",72
72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",69
72Q3x2IsekPPDVEjwpkEdI,"Jaan Le Gayi (From ""Bhoomi 2024"")",57
4bD9z9qa4qg9BhryvYWB7c,Kabira,72
0OdztoASgKBBNcAgtErk0X,Bikhra,67
3jf5303mzzJ96O8xFTcEn4,"Mann Bharryaa 2.0 (From ""Shershaah"")",67
6udC4b4jOSnHb9ItnXgKLR,Saibo,68
5pVaSZRi5mLAuNYFAz7XUU,My Dil Goes,40
2mdwuBtT1alepau9g6GwnC,O Beliya,71
7MXVkk9YMctZqd1Srtv4MB,Starboy,87
4eFnk661RcdOuH9ajiTO3j,Banjaara,64
1ErMeReQpwGuroEk5zekr3,"Choli Ke Peeche (From ""Crew"")",70
3WLJ7D5kh44K5eJ1NqZQ6W,Baarishein,75
4mjX6eCoT4aXfDwNj4eDSh,Tang Mujhko,55
